ev_bin,la_bin,dir_bin,xBA
61,-39,-50,0.14285714285714285
63,-29,-20,0.0
96,-5,30,0.6
93,9,-30,0.95
89,24,0,0.1875
94,-16,-5,0.8333333333333334
83,-17,5,0.0
96,-3,-25,0.5161290322580645
100,-1,15,0.6666666666666666
84,7,-30,0.7333333333333333
91,6,0,0.47058823529411764
74,-64,80,0.0
99,25,-10,0.30952380952380953
90,9,30,0.3333333333333333
60,-28,-45,0.0
97,26,-30,0.8333333333333334
90,23,-35,0.5
87,1,5,0.29411764705882354
98,37,0,0.125
98,3,-15,0.375
90,35,5,0.09090909090909091
58,-21,-20,0.0
98,27,-20,0.6153846153846154
95,31,-35,0.7
100,10,-15,0.6097560975609756
108,24,-5,0.5714285714285714
85,25,-10,0.0
52,-45,-65,0.0
71,-22,-20,0.0
106,27,-25,1.0
101,-7,-10,0.6428571428571429
43,-80,-125,1.0
92,-15,30,0.25
56,10,-40,0.0
94,17,5,0.7428571428571429
103,3,5,0.2692307692307692
83,48,35,0.0
59,-8,5,0.0
88,-13,-30,0.45454545454545453
84,19,-5,0.7777777777777778
89,38,-20,0.0
80,-24,10,0.0
94,20,-25,0.16666666666666666
93,44,-10,0.058823529411764705
64,-33,-60,0.5
45,-62,-25,0.0
64,18,10,0.0
86,22,15,0.0
70,-23,-45,0.2
90,12,0,1.0
76,18,20,1.0
24,27,-20,0.5
95,15,-30,0.8333333333333334
75,-16,-45,0.0
81,-18,-40,0.25
97,7,-20,0.44
82,29,-15,0.0
87,-2,15,0.0
93,11,-10,0.8695652173913043
92,34,-30,0.45454545454545453
86,-12,-35,0.42857142857142855
101,29,-5,0.28
55,-19,-5,0.4
107,3,-30,0.7857142857142857
28,16,30,0.3333333333333333
80,8,-5,0.42857142857142855
104,17,-15,0.7297297297297297
50,-69,-115,0.0
86,5,-30,0.625
77,-20,-15,0.09090909090909091
93,51,-25,0.14285714285714285
95,40,-15,0.0
74,63,35,0.0
75,-3,-40,0.16666666666666666
45,-77,-70,1.0
73,43,-15,0.0
95,29,-10,0.07407407407407407
95,50,0,0.0
40,39,10,1.0
79,59,0,0.4
35,-15,-75,0.0
98,-8,-20,0.0
65,-77,-55,0.5
84,40,25,0.0
85,2,-30,0.5555555555555556
72,20,-15,1.0
85,32,25,0.09090909090909091
60,-21,45,0.0
91,22,10,0.12
97,3,-10,0.6842105263157895
96,41,-30,0.36363636363636365
55,-62,-25,0.0
107,22,25,1.0
78,49,-25,0.0
81,33,-5,0.14285714285714285
104,9,-5,1.0
80,43,35,0.0
82,3,5,0.25
55,-24,-175,1.0
63,73,-30,0.0
102,25,15,0.75
103,31,0,0.5384615384615384
54,-69,-75,1.0
70,-2,15,0.0
71,23,-25,1.0
71,61,30,0.0
91,43,10,0.043478260869565216
80,-6,-5,0.25
95,-32,-60,0.0
85,43,-15,0.0
75,-28,20,0.0
88,38,-20,0.0
80,-12,-30,0.26666666666666666
89,64,-10,0.0
99,26,-15,0.62
112,8,-25,0.75
94,15,-15,0.9523809523809523
58,23,35,0.6666666666666666
71,70,40,0.0
72,-47,60,0.0
74,-3,-30,0.8571428571428571
84,66,10,0.0
96,20,10,0.22580645161290322
107,18,-10,0.7058823529411765
84,34,-10,0.0
89,-9,35,0.0
98,37,-25,0.5263157894736842
83,-54,0,0.0
86,-2,0,0.16666666666666666
96,12,-5,0.9
61,12,5,0.0
103,11,20,1.0
87,15,-25,0.8571428571428571
93,-5,40,0.0
100,9,20,1.0
100,10,-20,0.7631578947368421
61,-71,-95,0.0
89,42,-35,0.2
67,20,15,0.875
99,-3,-35,0.36363636363636365
89,27,-15,0.07142857142857142
98,37,10,0.3
98,16,0,0.5789473684210527
48,-27,-180,0.0
99,-6,5,0.15384615384615385
93,50,25,0.0
51,10,-35,0.0
100,-3,-10,0.6153846153846154
33,-25,45,0.0
92,28,20,0.36363636363636365
92,37,-25,0.125
108,7,-35,0.6923076923076923
94,10,-20,0.6956521739130435
107,15,-20,0.47058823529411764
92,33,-10,0.05555555555555555
82,49,-20,0.0
99,5,-20,0.22857142857142856
93,-4,-5,1.0
92,2,-10,0.6
99,-15,15,0.0
101,6,0,0.6190476190476191
89,36,10,0.0
66,44,25,0.75
39,-44,-45,1.0
99,24,5,0.696969696969697
89,73,30,0.0
97,38,-15,0.0625
88,4,-35,0.2
66,-51,20,0.0
98,18,20,0.375
83,-20,-25,0.13636363636363635
89,23,30,0.6666666666666666
94,56,5,0.0
88,22,-35,0.8571428571428571
96,6,20,0.9230769230769231
49,-63,-10,1.0
57,-45,35,1.0
63,-15,-20,0.0
87,22,-5,0.11764705882352941
72,14,5,0.0
92,12,-20,0.8076923076923077
94,26,25,0.6
96,29,5,0.45454545454545453
95,13,-5,0.8666666666666667
43,-71,135,0.0
75,19,15,1.0
93,38,20,0.09090909090909091
88,43,25,0.0
97,31,-15,0.22857142857142856
92,4,30,0.3333333333333333
85,58,0,0.0
95,-20,0,0.3
72,-36,-50,0.0
71,-52,-70,0.0
97,28,5,0.2692307692307692
72,-41,-40,0.6
66,64,-15,0.0
91,-7,25,0.6
55,-8,-20,0.0
93,-21,0,0.2857142857142857
92,-15,-20,0.3
69,13,35,1.0
65,-18,-10,0.0
82,23,-20,0.36363636363636365
24,-27,40,0.0
85,41,5,0.0
75,68,15,0.0
78,-4,0,0.16666666666666666
56,31,-20,0.0
91,-9,0,0.1111111111111111
48,-45,-35,0.0
98,-9,-25,0.15
96,10,-35,0.8333333333333334
100,-1,-45,1.0
